"exclude","ne","not","clausetype","never.posn","not.posn","finite","id","year","author","prev.ne","prev.not","next.ne","next.not","has.ne","has.not","has.both","neg.type","has.ne.prev","has.not.prev","has.both.prev","prev.neg.type","has.ne.next","has.not.next","has.both.next","next.neg.type","datepd"
"-","-","-","second-conjunct","-","-","-","CMAELR3,26.5",1400,"CMAELR3",NA,NA,"contracted","-",FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,3
"contraction","contracted","-","matrix","-","-","-","CMAELR3,27.27",1400,"CMAELR3","-","-","contracted","-",FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,NA,3
"contraction","contracted","-","matrix","-","-","-","CMAELR3,27.29",1400,"CMAELR3","contracted","-","-","postverbal",FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,NA,FALSE,TRUE,FALSE,"not",3
"-","-","postverbal","relative","-","postverbal","finite","CMAELR3,27.29",1400,"CMAELR3","contracted","-","-","postverbal",FALSE,TRUE,FALSE,"not",FALSE,FALSE,FALSE,NA,FALSE,TRUE,FALSE,"not",3
"-","-","postverbal","other","-","postverbal","finite","CMAELR3,27.42",1400,"CMAELR3","-","postverbal","-","postverbal",FALSE,TRUE,FALSE,"not",FALSE,TRUE,FALSE,"not",FALSE,TRUE,FALSE,"not",3
"-","-","postverbal","matrix","-","postverbal","finite","CMAELR3,27.44",1400,"CMAELR3","-","postverbal","-","postverbal",FALSE,TRUE,FALSE,"not",FALSE,TRUE,FALSE,"not",FALSE,TRUE,FALSE,"not",3
"-","-","postverbal","that","-","postverbal","finite","CMAELR3,27.44",1400,"CMAELR3","-","postverbal","-","postverbal",FALSE,TRUE,FALSE,"not",FALSE,TRUE,FALSE,"not",FALSE,TRUE,FALSE,"not",3
"-","-","postverbal","relative","-","postverbal","finite","CMAELR3,27.45",1400,"CMAELR3","-","postverbal","-","postverbal",FALSE,TRUE,FALSE,"not",FALSE,TRUE,FALSE,"not",FALSE,TRUE,FALSE,"not",3
"-","-","postverbal","matrix","-","postverbal","finite","CMAELR3,28.70",1400,"CMAELR3","-","postverbal","contracted","-",FALSE,TRUE,FALSE,"not",FALSE,TRUE,FALSE,"not",FALSE,FALSE,FALSE,NA,3
"contraction","contracted","-","matrix","-","-","-","CMAELR3,28.76",1400,"CMAELR3","-","postverbal","-","postverbal",FALSE,FALSE,FALSE,NA,FALSE,TRUE,FALSE,"not",FALSE,TRUE,FALSE,"not",3
